"STATION","NAME","DATE","TAVG"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-01","8.0"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-02","4.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-03","5.6"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-04","8.2"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-05","1.0"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-06","0.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-07","-3.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-08","-5.2"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-09","-6.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-10","-2.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-11","8.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-12","12.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-13","12.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-14","0.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-15","1.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-16","2.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-17","5.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-18","5.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-19","6.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-20","6.2"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-21","7.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-22","7.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-23","6.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-24","3.9"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-25","5.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-26","10.0"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-27","6.5"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-28","3.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-29","4.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-30","2.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-01-31","-0.6"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-01","5.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-02","5.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-03","0.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-04","-1.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-05","2.5"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-06","6.2"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-07","4.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-08","8.2"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-09","2.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-10","-4.2"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-11","3.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-12","2.2"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-13","3.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-14","1.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-15","4.9"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-16","2.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-17","1.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-18","7.9"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-19","15.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-20","10.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-21","5.6"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-22","9.0"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-23","10.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-24","15.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-25","13.9"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-26","6.9"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-27","6.6"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-02-28","9.9"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-01","14.2"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-02","12.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-03","2.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-04","-2.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-05","-3.9"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-06","1.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-07","8.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-08","12.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-09","14.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-10","5.6"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-11","-3.2"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-12","-3.0"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-13","-2.0"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-14","0.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-15","-3.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-16","-0.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-17","3.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-18","3.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-19","4.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-20","6.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-21","10.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-22","6.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-23","0.0"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-24","6.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-25","12.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-26","5.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-27","5.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-28","6.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-29","9.5"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-30","7.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2017-03-31","6.1"
